timestamp,latitude,longitude,speed_kmh,event
2026-06-19T22:24:14.000Z,-40.254312,-73.274113,0,
2026-06-19T22:26:15.000Z,-40.254312,-73.274113,0,
2026-06-19T22:27:15.000Z,-40.254312,-73.274113,0,
2026-06-19T22:28:15.000Z,-40.254312,-73.274113,0,
2026-06-19T22:29:16.000Z,-40.254312,-73.274113,0,
2026-06-19T22:30:15.000Z,-40.254312,-73.274113,0,
2026-06-19T22:31:15.000Z,-40.254312,-73.274113,0,
2026-06-19T22:32:16.000Z,-40.254312,-73.274113,0,
2026-06-19T22:33:16.000Z,-40.254312,-73.274113,0,
2026-06-19T22:34:16.000Z,-40.254312,-73.274113,0,
2026-06-19T22:35:16.000Z,-40.254312,-73.274113,0,
2026-06-19T22:36:05.000Z,-40.254285,-73.273993,7,
2026-06-19T22:36:21.000Z,-40.254208,-73.273507,8,
2026-06-19T22:36:29.000Z,-40.254068,-73.273342,11,
2026-06-19T22:36:43.000Z,-40.253608,-73.273597,15,
2026-06-19T22:36:59.000Z,-40.253205,-73.274368,16,
2026-06-19T22:37:07.000Z,-40.252878,-73.2745,16,
2026-06-19T22:37:17.000Z,-40.252467,-73.274347,19,
2026-06-19T22:37:26.000Z,-40.252082,-73.274345,12,
2026-06-19T22:37:39.000Z,-40.251807,-73.274695,9,
2026-06-19T22:37:48.000Z,-40.251578,-73.274917,11,
2026-06-19T22:37:56.000Z,-40.25138,-73.27513,8,
2026-06-19T22:38:11.000Z,-40.251343,-73.275527,6,
2026-06-19T22:38:22.000Z,-40.251132,-73.275782,7,
2026-06-19T22:38:38.000Z,-40.250723,-73.275833,7,
2026-06-19T22:38:46.000Z,-40.250538,-73.275987,9,
2026-06-19T22:39:13.000Z,-40.250238,-73.276822,8,
2026-06-19T22:39:21.000Z,-40.250113,-73.276938,10,
2026-06-19T22:39:29.000Z,-40.2498,-73.276848,20,
2026-06-19T22:39:41.000Z,-40.249065,-73.276935,26,
2026-06-19T22:39:56.000Z,-40.248187,-73.276403,20,
2026-06-19T22:40:15.000Z,-40.247527,-73.2759,14,
2026-06-19T22:40:28.000Z,-40.247468,-73.275313,16,
2026-06-19T22:40:39.000Z,-40.247082,-73.274778,21,
2026-06-19T22:40:51.000Z,-40.247345,-73.274017,24,
2026-06-19T22:40:59.000Z,-40.247377,-73.273378,24,
2026-06-19T22:41:09.000Z,-40.24688,-73.272953,25,
2026-06-19T22:41:18.000Z,-40.246393,-73.272657,25,
2026-06-19T22:41:26.000Z,-40.24613,-73.272267,12,
2026-06-19T22:41:34.000Z,-40.24582,-73.272282,16,
2026-06-19T22:41:43.000Z,-40.245467,-73.272682,22,
2026-06-19T22:41:51.000Z,-40.245113,-73.272882,11,
2026-06-19T22:42:01.000Z,-40.244943,-73.273082,0,
2026-06-19T22:43:02.000Z,-40.24494,-73.273087,0,
2026-06-19T22:44:02.000Z,-40.24494,-73.273087,0,
2026-06-19T22:45:02.000Z,-40.24494,-73.273087,0,
2026-06-19T22:46:02.000Z,-40.24494,-73.273087,0,
2026-06-19T22:48:02.000Z,-40.24494,-73.273087,0,
2026-06-19T22:50:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:53:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:55:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:55:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:57:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:58:03.000Z,-40.24494,-73.273087,0,
2026-06-19T22:59:03.000Z,-40.24494,-73.273087,0,
2026-06-19T23:00:04.000Z,-40.24494,-73.273087,0,
2026-06-19T23:01:04.000Z,-40.24494,-73.273087,0,
2026-06-19T23:01:13.000Z,-40.244907,-73.273097,6,
2026-06-19T23:01:21.000Z,-40.244832,-73.272955,6,
2026-06-19T23:01:29.000Z,-40.244608,-73.272938,14,
2026-06-19T23:01:37.000Z,-40.244332,-73.273125,15,
2026-06-19T23:01:45.000Z,-40.24416,-73.272928,10,
2026-06-19T23:01:57.000Z,-40.243863,-73.272627,13,
2026-06-19T23:02:05.000Z,-40.243893,-73.272137,20,
2026-06-19T23:02:13.000Z,-40.243672,-73.271645,19,
2026-06-19T23:02:22.000Z,-40.243328,-73.271822,20,
2026-06-19T23:02:30.000Z,-40.243088,-73.272002,15,
2026-06-19T23:02:38.000Z,-40.242838,-73.271733,17,
2026-06-19T23:02:46.000Z,-40.242613,-73.271413,17,
2026-06-19T23:02:54.000Z,-40.24244,-73.271018,14,
2026-06-19T23:03:03.000Z,-40.242025,-73.271165,17,
2026-06-19T23:03:11.000Z,-40.241692,-73.271243,13,
2026-06-19T23:03:19.000Z,-40.241398,-73.27109,11,
2026-06-19T23:03:27.000Z,-40.241517,-73.270702,19,
2026-06-19T23:03:37.000Z,-40.24197,-73.270402,23,
2026-06-19T23:03:46.000Z,-40.242072,-73.269842,13,
2026-06-19T23:03:56.000Z,-40.241763,-73.269505,16,
2026-06-19T23:04:04.000Z,-40.241595,-73.269212,13,
2026-06-19T23:04:12.000Z,-40.24189,-73.268875,19,
2026-06-19T23:04:20.000Z,-40.241888,-73.268435,12,
2026-06-19T23:04:28.000Z,-40.242242,-73.268253,18,
2026-06-19T23:04:38.000Z,-40.242552,-73.267673,24,
2026-06-19T23:04:49.000Z,-40.242442,-73.266808,20,
2026-06-19T23:04:58.000Z,-40.24263,-73.266268,20,
2026-06-19T23:05:12.000Z,-40.242523,-73.265147,27,
2026-06-19T23:05:22.000Z,-40.242688,-73.264402,25,
2026-06-19T23:05:30.000Z,-40.242498,-73.264028,18,
2026-06-19T23:05:39.000Z,-40.24205,-73.264335,24,
2026-06-19T23:05:39.000Z,-40.24205,-73.264335,24,
2026-06-19T23:05:42.000Z,-40.241913,-73.264523,22,
2026-06-19T23:05:50.000Z,-40.241562,-73.264695,21,
2026-06-19T23:06:00.000Z,-40.24099,-73.264488,20,
2026-06-19T23:06:09.000Z,-40.240612,-73.263965,23,
2026-06-19T23:06:21.000Z,-40.240197,-73.263597,13,
2026-06-19T23:06:32.000Z,-40.239773,-73.263445,14,
2026-06-19T23:06:43.000Z,-40.239695,-73.262882,28,
2026-06-19T23:06:52.000Z,-40.239665,-73.261998,28,
2026-06-19T23:07:10.000Z,-40.238738,-73.260802,30,
2026-06-19T23:07:22.000Z,-40.238098,-73.261058,32,
2026-06-19T23:07:31.000Z,-40.237518,-73.261397,26,
2026-06-19T23:07:41.000Z,-40.236858,-73.2615,18,
2026-06-19T23:07:50.000Z,-40.236637,-73.261345,9,
2026-06-19T23:07:58.000Z,-40.236542,-73.261158,7,
2026-06-19T23:08:08.000Z,-40.236458,-73.260778,12,
2026-06-19T23:08:20.000Z,-40.236362,-73.260132,21,
2026-06-19T23:08:29.000Z,-40.235903,-73.259607,29,
2026-06-19T23:08:37.000Z,-40.235842,-73.25904,16,
2026-06-19T23:08:45.000Z,-40.235607,-73.25867,18,
2026-06-19T23:09:11.000Z,-40.234228,-73.258647,20,
2026-06-19T23:09:26.000Z,-40.233178,-73.258512,29,
2026-06-19T23:09:34.000Z,-40.232572,-73.258333,30,
2026-06-19T23:09:43.000Z,-40.23222,-73.2577,25,
2026-06-19T23:09:54.000Z,-40.232268,-73.256802,19,
2026-06-19T23:10:11.000Z,-40.232158,-73.255618,23,
2026-06-19T23:10:20.000Z,-40.23225,-73.255042,19,
2026-06-19T23:10:35.000Z,-40.232828,-73.254088,33,
2026-06-19T23:10:47.000Z,-40.233402,-73.253105,22,
2026-06-19T23:11:06.000Z,-40.23395,-73.252052,19,
2026-06-19T23:11:15.000Z,-40.234127,-73.2514,14,
2026-06-19T23:11:37.000Z,-40.234042,-73.250425,14,
2026-06-19T23:11:45.000Z,-40.234048,-73.25006,12,
2026-06-19T23:11:58.000Z,-40.234157,-73.249415,17,
2026-06-19T23:12:06.000Z,-40.234203,-73.249013,13,
2026-06-19T23:12:15.000Z,-40.234372,-73.24849,22,
2026-06-19T23:12:25.000Z,-40.234832,-73.247885,21,
2026-06-19T23:13:31.000Z,-40.235042,-73.247458,0,
2026-06-19T23:14:24.000Z,-40.235082,-73.24741,8,
2026-06-19T23:14:32.000Z,-40.235182,-73.247163,13,
2026-06-19T23:14:54.000Z,-40.235103,-73.2457,24,
2026-06-19T23:15:09.000Z,-40.235105,-73.244325,26,
2026-06-19T23:15:21.000Z,-40.235235,-73.243337,23,
2026-06-19T23:15:33.000Z,-40.234622,-73.242788,28,
2026-06-19T23:15:42.000Z,-40.234292,-73.24215,25,
2026-06-19T23:15:56.000Z,-40.23429,-73.240893,24,
2026-06-19T23:16:04.000Z,-40.234337,-73.240327,22,
2026-06-19T23:16:12.000Z,-40.23435,-73.239837,12,
2026-06-19T23:16:22.000Z,-40.234297,-73.239448,12,
2026-06-19T23:16:30.000Z,-40.234258,-73.239105,11,
2026-06-19T23:16:38.000Z,-40.23427,-73.238817,9,
2026-06-19T23:16:46.000Z,-40.234265,-73.23853,10,
2026-06-19T23:16:54.000Z,-40.234212,-73.238213,12,
2026-06-19T23:17:02.000Z,-40.234215,-73.237845,13,
2026-06-19T23:17:16.000Z,-40.234327,-73.237218,11,
2026-06-19T23:17:26.000Z,-40.234432,-73.236858,11,
2026-06-19T23:17:35.000Z,-40.234523,-73.236537,12,
2026-06-19T23:17:43.000Z,-40.23462,-73.236205,12,
2026-06-19T23:18:01.000Z,-40.234858,-73.23518,17,
